alpha,makespan,labor_cost
0.6,193.54413870741018,620000.2891422308
0.6,203.6832701897671,598449.6259331212
0.6,227.88797837365823,567372.990861895
0.6,208.5202687360886,592192.3740154041
0.6,254.72660203651114,544808.7957324205
0.6,255.4348381099579,544562.6374273363
0.6,257.42153618225666,543675.4929315519
0.6,275.3401413672651,536240.4869646981
0.6,211.21597454257164,587560.0905812352
0.6,198.45762195921324,607462.6226054443
0.6,218.06905457660872,578704.281498005
0.6,214.96962771881584,583115.841830479
0.6,189.4608985930182,631598.6162688903
0.6,272.58495028063703,537120.0980654861
0.6,246.64412066462538,549852.0325252411
0.6,227.0401405761847,568032.8251554492
0.6,267.8038430292849,538927.8492084857
0.6,254.61767943461487,544977.7462020817
0.6,205.3126664520407,595629.8414195878
0.6,191.19428784387492,626336.5559235391
0.6,223.6363239304829,571886.6944330707
0.6,237.21794610646023,557942.0894775926
0.6,234.5046211264472,560398.2741210074
0.6,191.61615585393832,625354.6712706255
0.6,246.9784784158794,549483.4988594771
0.6,203.44625940337727,598818.826787137
0.6,227.44307907472944,567649.085384097
0.6,213.34554130179907,585217.7114070649
0.6,198.17808296915354,608430.7792412282
0.6,197.80533612145885,609344.1578713129
0.6,268.8313717981594,538283.518877896
0.6,198.3604654299883,607918.2808925433
0.6,226.11824990765868,568917.8402438187
0.6,191.4980090817109,625897.9624072927
0.6,210.3238764244699,588892.4119443583
0.6,215.97903681362124,580766.8233000932
0.6,215.98678435167452,580761.7608762495
0.6,206.5327568309245,594315.2870253372
0.6,189.60925728870544,631085.1287343081
0.6,256.9174607387694,543850.4375196125
0.6,228.89408601067043,565880.7698210357
0.6,267.2787663902324,539042.223331448
0.6,213.14256141418238,585641.6803642804
0.6,253.81617034587754,545249.3313282954
0.6,218.69233963133678,578178.527764108
0.6,275.19151413133636,536320.121968552
0.6,266.70793078882025,539276.9607319148
0.6,192.4911656899396,622412.820989951
0.6,273.2039110184128,536910.392826936
0.6,208.9100053530645,591290.198723999
0.6,259.01485148608896,542937.5662992888
