beta,makespan,labor_cost,total_cost
0.6,245.33057829540124,535144.179654064,535144.179654064
0.6,249.57902762479782,530590.7425293501,530590.7425293501
0.6,241.7304010529759,539265.4740582427,539265.4740582427
0.6,233.94795776658816,549243.2402057626,549243.2402057626
0.6,255.5535660951135,524298.6144245284,524298.6144245284
0.6,248.5471562925361,531689.7955552305,531689.7955552305
0.6,237.82494723921175,544420.7156550842,544420.7156550842
0.6,243.23495901134456,537450.2598695268,537450.2598695268
0.6,226.52448017380516,561988.016684531,561988.016684531
0.6,223.24368263618186,570734.7222896499,570734.7222896499
0.6,242.8945921495076,537857.744952684,537857.744952684
0.6,233.9897010587145,549224.4907594206,549224.4907594206
0.6,248.94690904815678,531321.9886392821,531321.9886392821
0.6,249.49939817811858,530737.6941499449,530737.6941499449
0.6,268.60453409717167,513293.0449592542,513293.0449592542
0.6,234.58223800657774,548571.41724116,548571.41724116
0.6,256.85807078577585,522701.38438842905,522701.38438842905
0.6,253.7566353761515,526079.1076361784,526079.1076361784
0.6,275.15031074692683,509828.3166258327,509828.3166258327
0.6,227.8246751289793,559082.2588967143,559082.2588967143
0.6,256.84625835404444,522794.67273198464,522794.67273198464
0.6,250.3745302110058,529754.9918584352,529754.9918584352
0.6,233.9700438738754,549235.7692025618,549235.7692025618
0.6,243.31580805763835,537373.6815834679,537373.6815834679
0.6,233.06490624225256,550438.0182825148,550438.0182825148
0.6,259.91837642402794,519625.78035358863,519625.78035358863
0.6,282.3628679490696,506993.4458792393,506993.4458792393
0.6,227.92514278388114,558936.4852062125,558936.4852062125
0.6,243.21287700849655,537511.1444516928,537511.1444516928
0.6,233.91554684169202,549255.8983800135,549255.8983800135
0.6,258.67640839879846,520946.9177663513,520946.9177663513
0.6,248.20285514248638,532099.0104862967,532099.0104862967
0.6,229.22717119755848,555922.6553586152,555922.6553586152
0.6,262.5271140582918,517407.7017822139,517407.7017822139
