alpha,makespan,labor_cost,total_cost
0.3,308.4412495431217,509318.42556427943,509318.42556427943
0.3,251.8809633129792,578752.7697462761,578752.7697462761
0.3,275.1446620314035,538616.0595652064,538616.0595652064
0.3,265.02046822274946,553710.6392209268,553710.6392209268
0.3,287.853402033985,523188.3139333235,523188.3139333235
0.3,296.6037038051386,515810.91041656403,515810.91041656403
0.3,249.5554365958755,584960.8007418487,584960.8007418487
0.3,254.08340423515338,573640.4580842739,573640.4580842739
0.3,243.47957480205014,604427.5473610158,604427.5473610158
0.3,247.31116824245748,591286.6773680404,591286.6773680404
0.3,260.19860847976327,561711.4799073022,561711.4799073022
0.3,305.2933501696639,510972.86577924073,510972.86577924073
0.3,303.59593287679246,511738.92985464167,511738.92985464167
0.3,284.7830129406634,526909.5828339407,526909.5828339407
0.3,248.17940619898036,588385.8317461847,588385.8317461847
0.3,263.795586432483,556088.5086822647,556088.5086822647
0.3,265.85220164161115,552628.3952496242,552628.3952496242
0.3,276.04411563013184,537498.6103995956,537498.6103995956
0.3,262.1765681293296,557876.4282273398,557876.4282273398
0.3,259.27346171288104,563092.6003325396,563092.6003325396
0.3,304.5068519374807,511181.8173816903,511181.8173816903
0.3,253.2935846845728,575746.7738428034,575746.7738428034
0.3,297.19796449070196,515455.7245306422,515455.7245306422
0.3,247.38669398112694,590917.6350478651,590917.6350478651
0.3,311.9139732197066,507457.1513663572,507457.1513663572
0.3,257.12828537802767,567186.9248373631,567186.9248373631
